index,influence,blend_in,special,leader,authority
81,yes,no,yes,yes,no
82,no,yes,no,no,yes
83,no,yes,no,no,no
84,no,yes,no,no,yes
85,no,no,yes,no,yes
86,no,yes,yes,no,no
87,yes,yes,yes,no,yes
88,yes,yes,yes,yes,yes
89,yes,yes,yes,no,no
90,yes,yes,no,yes,yes
91,yes,yes,yes,yes,yes
92,no,yes,no,no,no
93,yes,yes,no,no,yes
94,yes,no,yes,yes,no
95,yes,yes,no,no,yes
96,yes,yes,no,yes,no
97,yes,no,yes,yes,yes
98,no,yes,no,yes,no
99,yes,yes,yes,yes,yes
100,yes,no,yes,yes,yes
101,yes,no,yes,yes,yes
102,no,yes,no,no,no
103,no,yes,no,no,no
104,yes,no,yes,yes,yes
105,no,yes,no,no,no
106,yes,no,yes,yes,no
107,yes,yes,no,no,no
108,yes,yes,no,yes,yes
109,yes,yes,no,no,yes
110,no,no,no,no,no
111,no,yes,no,no,no
112,yes,yes,no,yes,no
113,yes,yes,no,yes,yes
114,no,no,yes,no,yes
115,no,no,no,no,no
116,yes,yes,no,yes,yes
117,yes,no,yes,yes,no
118,yes,yes,no,yes,no
119,yes,yes,no,no,yes
120,no,yes,no,no,no
121,yes,yes,no,no,no
122,no,yes,no,no,no
123,no,yes,no,no,no
124,yes,yes,yes,no,yes
125,yes,no,yes,yes,yes
126,no,yes,no,yes,no
127,yes,no,no,yes,yes
128,no,no,yes,no,yes
129,yes,yes,no,yes,yes
130,yes,yes,no,no,no
131,yes,yes,no,no,no
132,yes,yes,yes,no,no
133,yes,no,no,yes,yes
134,no,yes,no,no,yes
135,no,yes,no,no,no
136,no,yes,no,no,no
137,yes,yes,yes,no,yes
138,yes,yes,no,yes,yes
139,no,yes,no,yes,yes
140,yes,yes,yes,no,no
141,yes,yes,no,no,no
142,yes,yes,no,yes,no
143,no,yes,no,no,no
144,yes,yes,no,yes,no
145,no,yes,yes,no,no
146,no,yes,no,no,no
147,yes,yes,yes,no,yes
148,yes,yes,no,yes,no
149,yes,yes,yes,yes,yes
150,no,no,no,no,no
151,no,yes,yes,yes,no
152,yes,no,yes,yes,yes
153,yes,yes,no,yes,yes
154,yes,no,no,no,no
155,yes,no,yes,yes,yes
156,yes,no,yes,yes,no
157,yes,yes,no,no,yes
158,yes,no,yes,yes,yes
159,yes,no,no,no,no
160,yes,yes,no,no,no
161,no,yes,no,yes,no
162,yes,yes,yes,yes,yes
163,yes,no,no,yes,no
164,yes,no,yes,yes,yes
165,yes,yes,no,no,no
166,yes,no,yes,no,yes
167,no,yes,no,no,no
168,no,yes,no,no,no
169,no,yes,yes,yes,yes
170,yes,yes,yes,no,yes
171,yes,yes,yes,no,yes
172,yes,no,yes,yes,yes
173,no,yes,no,yes,no
174,yes,yes,no,yes,no
175,no,yes,yes,yes,yes
176,no,yes,no,no,no
177,no,yes,no,no,no
178,no,yes,no,no,no
179,no,no,no,no,no
180,yes,yes,no,yes,no
181,no,yes,yes,no,yes
182,no,yes,no,no,no
183,yes,yes,yes,no,no
184,yes,no,no,yes,yes
185,no,yes,yes,no,no
186,no,yes,no,no,no
187,yes,no,no,yes,yes
188,yes,yes,no,yes,yes
189,yes,no,yes,yes,yes
190,yes,no,yes,no,no
191,yes,no,yes,no,no
192,yes,yes,no,no,no
193,no,no,yes,yes,yes
194,no,yes,no,no,no
195,yes,yes,no,no,yes
196,yes,no,no,no,yes
197,yes,no,no,yes,yes
198,no,yes,no,no,yes
199,no,yes,yes,yes,yes
200,yes,no,no,no,yes
201,no,yes,yes,no,no
202,yes,yes,no,no,no
203,no,no,no,yes,no
204,no,no,yes,yes,yes
205,yes,yes,no,yes,no
206,no,yes,yes,yes,yes
207,yes,no,yes,yes,yes
208,no,yes,no,no,no
209,no,yes,no,yes,no
210,yes,yes,yes,yes,yes
211,no,yes,no,yes,no
212,no,yes,no,no,no
213,no,yes,no,no,no
214,no,no,yes,no,no
215,no,yes,no,no,yes
216,no,yes,no,yes,no
217,yes,yes,yes,no,no
218,no,yes,no,no,no
219,no,no,yes,yes,no
220,yes,yes,no,yes,no
221,yes,no,yes,yes,yes
222,no,yes,yes,no,no
223,no,yes,yes,no,yes
224,yes,yes,no,yes,yes
225,no,yes,no,yes,no
226,yes,yes,yes,yes,yes
227,yes,yes,no,yes,yes
228,yes,yes,no,no,no
229,yes,yes,yes,yes,yes
230,yes,no,yes,no,yes
231,no,yes,no,no,no
232,yes,no,no,no,no
233,no,yes,no,no,no
234,yes,no,no,yes,no
235,no,yes,no,no,no
236,yes,no,yes,yes,yes
237,no,no,yes,no,yes
238,yes,yes,yes,no,no
239,yes,yes,no,yes,yes
240,yes,yes,no,no,no
241,yes,no,yes,yes,no
242,yes,no,no,yes,yes
243,yes,no,yes,yes,yes
244,no,no,no,no,no
245,yes,yes,no,yes,no
246,yes,no,yes,yes,yes
247,yes,yes,yes,yes,no
248,yes,yes,no,no,no
249,yes,yes,yes,yes,no
250,no,no,no,no,no
251,yes,yes,no,no,no
252,yes,yes,no,yes,no
253,yes,no,yes,yes,yes
254,no,no,no,no,yes
255,yes,no,yes,yes,yes
256,yes,yes,yes,yes,yes
257,yes,yes,no,yes,no
258,no,no,yes,no,no
259,yes,yes,yes,yes,yes
260,no,yes,no,no,no
261,no,yes,no,no,yes
262,yes,yes,yes,yes,yes
263,yes,no,yes,yes,yes
264,yes,yes,yes,no,no
265,no,yes,no,yes,no
266,yes,no,no,yes,yes
267,yes,no,no,no,no
268,no,yes,yes,yes,no
269,no,no,no,no,no
270,no,yes,yes,yes,yes
271,yes,yes,no,yes,yes
272,yes,yes,no,yes,yes
273,yes,no,yes,yes,yes
274,no,no,yes,yes,yes
275,yes,no,yes,no,yes
276,yes,no,yes,yes,yes
277,yes,yes,no,no,no
278,no,no,yes,yes,yes
279,no,no,yes,no,yes
280,yes,yes,yes,yes,no
281,yes,no,yes,yes,yes
282,no,no,yes,yes,yes
283,yes,no,no,yes,no
284,no,yes,no,yes,yes
285,yes,no,yes,yes,yes
286,no,yes,yes,no,yes
287,no,yes,no,no,no
288,no,yes,no,yes,yes
289,no,no,yes,yes,yes
290,no,yes,no,no,no
291,yes,no,yes,no,yes
292,yes,no,yes,yes,yes
293,yes,yes,no,no,no
294,yes,yes,no,yes,no
295,yes,no,yes,yes,yes
296,yes,yes,yes,yes,no
297,yes,yes,yes,no,no
298,no,yes,no,yes,no
299,yes,no,yes,yes,yes
300,no,yes,no,no,no
301,no,yes,no,no,yes
302,no,yes,yes,no,no
303,yes,no,yes,yes,yes
304,yes,no,yes,yes,no
305,yes,yes,yes,yes,yes
306,no,yes,yes,no,no
307,yes,yes,no,no,no
308,yes,no,no,yes,no
309,yes,no,no,no,yes
310,yes,no,yes,yes,yes
311,yes,yes,no,no,no
312,yes,yes,no,no,no
313,yes,no,no,no,no
314,no,yes,yes,no,no
315,yes,yes,yes,yes,no
316,yes,no,yes,yes,yes
317,yes,yes,no,no,no
318,no,yes,yes,no,no
319,no,yes,yes,no,no
320,yes,yes,yes,yes,yes
321,yes,no,yes,yes,yes
322,no,yes,no,yes,no
323,yes,yes,no,no,no
324,no,yes,no,no,yes
325,no,yes,no,no,no
326,yes,yes,no,no,no
327,no,yes,no,no,no
328,no,yes,no,no,no
329,yes,no,yes,yes,yes
330,no,yes,no,no,no
331,no,yes,no,no,no
332,no,yes,no,yes,no
333,no,yes,no,no,no
334,yes,no,yes,yes,yes
335,yes,no,yes,yes,yes
336,no,yes,yes,no,no
337,no,yes,no,no,no
338,yes,yes,no,no,no
339,no,yes,yes,no,no
340,no,yes,no,no,no
341,yes,no,yes,yes,no
342,yes,no,yes,yes,yes
343,yes,no,yes,yes,yes
344,yes,yes,no,yes,no
345,no,yes,yes,yes,no
346,no,yes,no,yes,no
347,yes,yes,no,yes,no
348,no,yes,no,yes,no
349,yes,no,yes,yes,yes
350,yes,no,yes,yes,yes
351,yes,yes,no,no,yes
352,yes,yes,no,yes,no
353,no,yes,no,no,no
354,yes,no,yes,yes,yes
355,yes,yes,yes,yes,yes
356,yes,no,yes,yes,yes
357,no,yes,no,no,no
358,yes,yes,no,no,yes
359,yes,yes,yes,yes,yes
360,no,yes,yes,yes,no
361,no,yes,yes,no,no
362,yes,no,yes,yes,yes
363,no,yes,no,no,yes
364,yes,no,yes,no,no
365,yes,yes,no,no,no
366,yes,yes,yes,yes,no
367,yes,no,no,yes,no
368,yes,no,yes,yes,yes
369,yes,yes,no,no,yes
370,no,yes,no,no,no
371,yes,no,yes,yes,yes
372,yes,yes,no,no,no
373,yes,yes,yes,yes,yes
374,yes,no,yes,no,no
375,no,yes,no,yes,yes
376,no,no,no,no,no
377,no,yes,yes,yes,yes
378,yes,no,yes,yes,yes
379,yes,yes,no,no,no
380,yes,no,yes,no,no
381,yes,yes,yes,no,no
382,no,yes,yes,no,no
383,yes,yes,no,yes,no
384,yes,yes,yes,yes,yes
385,no,no,yes,no,no
386,no,yes,no,yes,yes
387,yes,yes,yes,no,yes
388,no,yes,no,no,no
389,no,yes,no,no,yes
390,yes,yes,yes,yes,yes
391,no,yes,yes,yes,yes
392,no,yes,yes,no,yes
393,yes,yes,no,yes,yes
394,no,no,yes,yes,no
395,yes,no,yes,yes,yes
396,no,yes,no,no,no
397,yes,yes,yes,yes,no
398,yes,no,yes,yes,yes
399,no,yes,yes,no,no
400,no,yes,yes,no,no
401,yes,no,yes,yes,yes
402,yes,no,no,no,no
403,no,yes,no,no,no
404,no,yes,no,no,no
405,no,yes,no,no,no
406,no,yes,yes,no,no
407,yes,yes,no,no,no
408,yes,yes,yes,no,no
409,no,yes,no,yes,no
410,yes,yes,no,yes,no
411,no,yes,no,no,yes
412,yes,yes,yes,yes,yes
413,no,no,no,no,no
414,yes,yes,no,yes,no
415,yes,no,yes,yes,no
416,no,yes,yes,no,no
417,no,yes,no,no,no
418,no,yes,no,no,no
419,no,yes,yes,no,yes
420,no,yes,yes,yes,yes
421,yes,yes,yes,yes,no
422,no,yes,no,no,no
423,yes,no,yes,yes,yes
424,yes,yes,no,no,yes
425,no,yes,no,yes,yes
426,yes,yes,no,yes,yes
427,yes,yes,no,no,no
428,yes,yes,no,no,no
429,no,yes,yes,yes,no
430,no,no,no,no,yes
431,no,yes,yes,yes,yes
432,yes,no,yes,no,yes
433,yes,no,no,no,yes
434,yes,yes,yes,no,no
435,no,yes,no,no,no
436,yes,no,no,yes,no
437,no,yes,no,no,yes
438,no,yes,no,no,no
439,yes,no,no,no,yes
440,yes,yes,no,yes,yes
441,yes,yes,no,yes,yes
442,yes,no,no,yes,no
443,no,yes,no,no,yes
444,yes,no,yes,yes,no
445,no,yes,no,yes,yes
446,no,yes,no,no,no
447,yes,yes,no,yes,yes
448,no,yes,no,no,no
449,yes,yes,yes,yes,yes
450,yes,yes,no,yes,yes
451,no,yes,no,no,no
452,yes,no,yes,yes,no
453,yes,yes,no,no,no
454,no,yes,no,no,yes
455,yes,no,no,yes,no
456,yes,no,yes,yes,yes
457,yes,yes,no,yes,no
458,no,yes,yes,yes,no
459,yes,yes,no,yes,no
460,no,yes,yes,no,yes
461,yes,yes,yes,no,yes
462,yes,yes,yes,yes,yes
463,yes,no,yes,yes,no
464,yes,no,yes,yes,yes
465,yes,yes,yes,yes,no
466,no,yes,yes,yes,yes
467,no,yes,no,no,yes
468,no,yes,no,yes,no
469,yes,no,yes,yes,yes
470,no,yes,yes,no,no
471,yes,yes,yes,no,no
472,yes,no,yes,yes,yes
473,yes,yes,no,no,no
474,no,yes,no,no,no
475,yes,yes,yes,no,no
476,yes,yes,yes,yes,yes
477,yes,yes,no,yes,no
478,yes,no,yes,yes,yes
479,yes,yes,no,no,no
480,yes,yes,no,no,no
481,yes,yes,no,yes,yes
482,yes,yes,yes,yes,no
483,no,yes,yes,no,yes
484,no,yes,no,no,no
485,yes,yes,no,yes,no
486,no,yes,no,no,no
487,no,no,yes,no,no
488,yes,no,yes,no,yes
489,yes,no,yes,yes,yes
490,yes,yes,no,yes,yes
491,no,yes,no,no,no
492,yes,yes,yes,yes,yes
493,yes,yes,yes,yes,yes
494,yes,yes,no,yes,yes
495,yes,yes,no,yes,no
496,yes,no,yes,yes,yes
497,no,yes,no,yes,no
498,no,yes,no,no,no
499,no,no,yes,no,no
500,yes,yes,yes,no,yes
501,no,yes,yes,no,yes
502,yes,yes,no,yes,no
503,no,yes,yes,no,no
504,yes,yes,no,no,no
505,yes,yes,no,no,no
506,yes,no,yes,yes,yes
507,yes,yes,yes,yes,yes
508,yes,no,no,yes,yes
509,yes,yes,yes,no,yes
510,yes,yes,yes,yes,no
511,no,yes,no,no,no
512,yes,yes,yes,yes,yes
513,no,yes,no,yes,no
514,yes,yes,no,yes,no
515,yes,yes,no,yes,no
516,yes,yes,no,yes,no
517,no,yes,yes,no,yes
518,no,yes,no,no,yes
519,yes,no,yes,yes,yes
520,yes,yes,yes,yes,yes
521,no,yes,no,no,yes
522,yes,no,yes,yes,yes
523,yes,no,no,yes,yes
524,yes,yes,no,yes,no
525,yes,no,yes,yes,yes
526,no,yes,yes,no,yes
527,yes,yes,yes,no,yes
528,no,yes,yes,no,yes
529,no,no,yes,yes,yes
530,yes,no,yes,yes,yes
531,yes,yes,no,no,yes
532,no,yes,yes,yes,no
533,yes,yes,no,yes,no
534,no,no,no,no,no
535,yes,yes,yes,yes,no
536,no,yes,yes,no,no
537,yes,no,no,no,no
538,yes,yes,no,yes,no
539,no,yes,no,no,yes
540,yes,no,no,no,no
541,yes,yes,no,no,no
542,yes,yes,no,yes,no
543,yes,yes,no,yes,no
544,no,yes,no,no,no
545,yes,yes,yes,no,yes
546,no,no,no,yes,no
547,no,yes,no,yes,no
548,no,yes,yes,no,yes
549,no,yes,no,no,no
550,no,yes,no,no,no
551,yes,yes,no,yes,yes
552,yes,no,yes,yes,yes
553,yes,yes,no,no,yes
554,no,yes,yes,no,no
555,no,no,no,no,yes
556,no,no,yes,no,yes
557,yes,yes,yes,no,no
558,yes,yes,yes,no,yes
559,yes,yes,no,no,no
560,yes,yes,no,yes,yes
561,yes,yes,yes,yes,yes
562,yes,yes,no,yes,no
563,no,no,yes,yes,no
564,yes,yes,no,yes,yes
565,no,yes,no,no,no
566,yes,no,yes,yes,yes
567,yes,no,no,yes,yes
568,yes,yes,yes,yes,yes
569,yes,no,yes,yes,no
570,yes,no,yes,no,no
571,yes,no,yes,no,no
572,yes,no,yes,no,yes
573,yes,yes,yes,yes,yes
574,yes,yes,no,no,yes
575,yes,yes,yes,yes,yes
576,yes,no,no,no,no
577,yes,yes,no,no,yes
578,yes,no,yes,no,no
579,yes,yes,yes,no,no
580,yes,yes,yes,no,no
581,no,no,no,yes,no
582,yes,no,yes,yes,yes
583,yes,no,yes,yes,yes
584,yes,yes,yes,yes,yes
585,no,no,yes,no,no
586,yes,yes,yes,yes,yes
587,no,yes,no,no,no
588,yes,yes,no,yes,yes
589,yes,no,no,yes,yes
590,yes,yes,no,no,no
591,yes,yes,no,no,yes
592,yes,yes,yes,no,no
593,yes,yes,yes,no,no
594,yes,no,yes,yes,yes
595,yes,yes,yes,yes,yes
596,yes,no,yes,yes,yes
597,yes,yes,no,no,no
598,no,no,yes,no,no
599,no,yes,no,yes,no
600,no,yes,no,no,no
601,yes,yes,no,no,no
602,yes,yes,no,no,no
603,no,no,yes,no,no
604,yes,yes,no,yes,yes
605,no,no,yes,yes,yes
606,yes,yes,no,yes,no
607,yes,no,yes,yes,yes
608,yes,yes,no,no,no
609,yes,yes,no,yes,no
610,no,yes,no,no,no
611,no,yes,no,no,no
612,no,yes,no,no,yes
613,yes,yes,no,yes,yes
614,yes,no,yes,no,no
615,yes,yes,no,yes,yes
616,no,yes,no,no,no
617,yes,no,yes,no,no
618,no,yes,no,no,no
619,no,yes,yes,yes,no
620,yes,no,yes,yes,yes
621,yes,no,yes,yes,no
622,no,no,yes,yes,yes
623,yes,yes,yes,yes,yes
624,no,yes,no,yes,no
625,no,no,yes,no,yes
626,yes,no,no,no,yes
627,yes,yes,no,yes,no
628,no,yes,no,no,no
629,yes,no,no,yes,no
630,yes,yes,no,no,no
631,no,yes,yes,no,yes
632,yes,no,no,yes,yes
633,no,yes,no,no,no
634,yes,no,yes,yes,yes
635,yes,no,yes,yes,no
636,no,no,yes,no,yes
637,no,yes,no,yes,yes
638,yes,yes,yes,no,no
639,yes,yes,yes,yes,no
640,no,yes,no,yes,no
641,no,yes,no,no,yes
642,yes,no,yes,no,yes
643,yes,no,no,yes,yes
644,no,yes,no,no,no
645,yes,no,yes,yes,no
646,no,yes,yes,yes,yes
647,yes,yes,yes,yes,yes
648,no,no,yes,yes,no
649,yes,yes,no,yes,yes
650,yes,no,no,no,no
651,yes,yes,no,no,yes
652,yes,yes,yes,yes,yes
653,yes,no,yes,yes,yes
654,no,yes,no,no,no
655,yes,yes,yes,yes,yes
656,yes,yes,no,no,yes
657,yes,no,yes,yes,no
658,yes,yes,yes,no,yes
659,yes,no,yes,yes,yes
660,yes,no,yes,yes,yes
661,no,no,no,no,no
662,yes,yes,yes,yes,no
663,no,no,no,no,no
664,no,no,yes,yes,yes
665,no,yes,yes,yes,yes
666,no,yes,no,no,no
667,yes,no,no,no,no
668,yes,yes,no,yes,no
669,yes,yes,no,no,yes
670,no,yes,no,yes,no
671,no,yes,no,no,yes
672,no,yes,yes,no,yes
673,no,yes,yes,yes,yes
674,yes,yes,yes,no,no
675,yes,no,yes,no,no
676,no,no,yes,no,yes
677,yes,no,yes,yes,no
678,yes,no,no,no,no
679,no,yes,no,no,no
680,yes,no,yes,no,no
681,no,yes,no,no,no
682,yes,no,no,no,yes
683,yes,yes,yes,no,no
684,yes,yes,no,yes,yes
685,yes,yes,yes,yes,yes
686,yes,yes,yes,yes,yes
687,yes,yes,no,yes,no
688,yes,yes,yes,yes,yes
689,yes,yes,no,no,no
690,yes,yes,yes,yes,yes
691,yes,yes,no,yes,yes
692,yes,yes,no,yes,yes
693,yes,yes,yes,no,no
694,yes,yes,yes,yes,no
695,yes,yes,no,yes,no
696,yes,yes,no,yes,no
697,no,yes,yes,no,yes
698,no,yes,no,no,no
699,yes,no,no,yes,no
700,yes,yes,yes,yes,yes
701,yes,yes,yes,no,no
702,no,yes,yes,no,yes
703,yes,no,yes,yes,no
704,no,yes,no,no,no
705,yes,no,no,no,no
706,yes,yes,yes,no,no
707,yes,no,yes,yes,no
708,no,no,no,no,no
709,yes,yes,yes,yes,no
710,yes,yes,yes,no,no
711,yes,yes,yes,yes,no
712,yes,yes,no,yes,no
713,yes,yes,yes,yes,no
714,yes,no,no,no,yes
715,yes,no,no,no,yes
716,no,no,no,no,yes
717,no,no,yes,yes,no
718,yes,yes,yes,yes,yes
719,yes,no,yes,yes,no
720,no,yes,yes,no,no
721,no,yes,no,no,no
722,no,yes,no,yes,no
723,yes,no,yes,yes,yes
724,yes,yes,no,no,no
725,yes,no,no,yes,no
726,yes,yes,yes,no,yes
727,yes,yes,yes,yes,no
728,yes,yes,yes,yes,no
729,no,yes,no,no,no
730,yes,no,yes,no,no
731,yes,no,yes,no,no
732,yes,yes,no,yes,yes
733,yes,no,no,no,no
734,yes,no,yes,yes,no
735,yes,no,yes,yes,yes
736,no,no,yes,no,no
737,yes,no,yes,no,yes
738,yes,no,yes,yes,yes
739,no,yes,no,no,no
740,yes,no,yes,yes,yes
741,yes,yes,no,no,yes
742,yes,no,yes,no,no
743,yes,yes,yes,no,no
744,no,yes,no,yes,yes
745,no,yes,no,no,no
746,no,no,no,no,no
747,no,yes,no,yes,no
748,yes,yes,yes,yes,no
749,yes,yes,no,yes,yes
750,yes,yes,no,no,no
751,yes,yes,no,yes,yes
752,no,no,yes,yes,yes
753,yes,no,yes,yes,yes
754,no,yes,no,no,no
755,no,yes,no,no,no
756,yes,yes,no,no,no
757,no,yes,yes,yes,no
758,yes,yes,yes,no,no
759,yes,no,no,no,no
760,no,yes,yes,yes,yes
761,yes,no,yes,no,yes
762,yes,no,yes,yes,yes
763,no,yes,no,no,no
764,no,yes,no,no,no
765,yes,yes,no,yes,no
766,yes,no,yes,yes,no
767,yes,yes,no,yes,yes
768,no,yes,no,yes,yes
769,yes,no,no,yes,yes
770,yes,no,yes,yes,yes
771,yes,yes,yes,no,no
772,no,yes,no,yes,no
773,no,yes,yes,no,yes
774,no,yes,yes,yes,yes
775,yes,yes,yes,no,yes
776,yes,yes,no,yes,yes
777,yes,no,yes,yes,yes
778,yes,yes,no,yes,no
779,yes,no,yes,yes,yes
780,no,yes,yes,no,no
781,no,yes,no,no,no
782,no,yes,yes,no,yes
783,no,yes,no,no,no
784,yes,no,yes,yes,yes
785,yes,yes,no,no,no
786,no,yes,no,no,no
787,yes,no,yes,yes,yes
788,no,yes,yes,no,yes
789,yes,no,no,no,yes
790,yes,yes,no,yes,no
791,yes,yes,no,yes,yes
792,no,yes,no,yes,no
793,yes,yes,yes,yes,no
794,yes,yes,yes,no,no
795,yes,no,yes,yes,yes
796,yes,yes,no,yes,yes
797,no,no,no,no,no
798,yes,yes,yes,yes,no
799,yes,no,yes,yes,yes
800,yes,yes,no,no,no
801,yes,no,yes,yes,yes
802,yes,no,yes,yes,no
803,no,no,yes,no,no
804,yes,no,yes,yes,yes
805,yes,yes,no,yes,yes
806,no,yes,yes,no,no
807,yes,no,yes,yes,yes
808,yes,yes,no,yes,no
809,no,yes,no,yes,no
810,no,yes,yes,yes,yes
811,no,no,no,yes,no
812,no,yes,no,no,no
813,yes,no,no,yes,yes
814,yes,no,yes,yes,yes
815,yes,no,no,yes,no
816,no,yes,yes,yes,yes
817,no,yes,yes,no,no
818,no,yes,no,no,no
819,yes,yes,no,yes,yes
820,no,yes,no,yes,yes
821,yes,yes,yes,yes,no
822,yes,no,yes,no,yes
823,yes,yes,no,no,yes
824,no,yes,yes,no,no
825,no,yes,yes,no,yes
826,no,yes,no,no,no
827,yes,yes,no,no,no
828,yes,yes,no,yes,no
829,yes,no,yes,yes,no
830,no,yes,yes,no,yes
831,no,yes,no,yes,no
832,yes,yes,yes,no,no
833,yes,yes,yes,no,no
834,yes,yes,no,yes,no
835,yes,yes,no,no,no
836,yes,yes,yes,yes,yes
837,yes,yes,yes,yes,yes
838,yes,yes,no,yes,yes
839,no,yes,no,yes,yes
840,no,yes,no,no,no
841,no,yes,yes,yes,yes
842,no,yes,no,no,no
843,yes,yes,yes,yes,yes
844,no,yes,yes,no,yes
845,yes,yes,no,no,no
846,yes,yes,no,no,no
847,yes,no,yes,no,yes
848,yes,yes,no,no,yes
849,yes,yes,no,yes,no
850,yes,no,yes,yes,yes
851,no,no,yes,yes,yes
852,no,yes,yes,no,yes
853,no,yes,no,yes,no
854,yes,yes,yes,yes,no
855,yes,yes,no,no,no
856,yes,yes,no,no,no
857,no,no,no,no,yes
858,no,yes,no,no,no
859,no,no,no,yes,yes
860,yes,yes,no,yes,yes
861,no,yes,yes,no,no
862,no,no,no,yes,no
863,no,yes,no,yes,no
864,yes,no,yes,no,yes
865,yes,no,no,yes,yes
866,yes,yes,yes,yes,no
867,no,yes,no,no,no
868,yes,yes,no,no,no
869,yes,yes,yes,no,yes
870,yes,yes,yes,yes,yes
871,no,yes,yes,yes,yes
872,yes,yes,yes,yes,yes
873,no,yes,no,yes,yes
874,no,yes,yes,no,no
875,no,no,yes,yes,yes
876,no,yes,no,no,yes
877,no,yes,no,no,no
878,yes,no,yes,yes,yes
879,yes,yes,no,yes,yes
880,no,yes,yes,yes,yes
881,yes,no,no,yes,yes
882,yes,no,yes,yes,no
883,no,no,yes,no,no
884,yes,yes,no,no,yes
885,yes,yes,no,yes,no
886,yes,no,no,no,yes
887,yes,no,yes,yes,yes
888,yes,no,yes,yes,yes
889,yes,no,yes,yes,yes
890,yes,yes,yes,no,no
891,yes,no,yes,yes,yes
892,yes,yes,no,yes,no
893,no,no,no,no,no
894,yes,yes,no,yes,no
895,no,yes,yes,no,yes
896,no,yes,no,no,no
897,yes,no,no,no,yes
898,yes,yes,no,yes,no
899,yes,no,no,yes,yes
900,yes,yes,no,yes,yes
901,no,yes,no,no,no
902,yes,no,yes,yes,yes
903,yes,no,yes,yes,no
904,no,yes,no,no,no
905,yes,no,yes,yes,no
906,yes,yes,yes,yes,yes
907,yes,no,no,no,no
908,yes,yes,yes,no,no
909,yes,no,no,no,no
910,no,yes,no,no,no
911,no,no,yes,yes,no
912,no,yes,no,yes,yes
913,no,no,no,yes,no
914,yes,yes,yes,no,no
915,no,yes,yes,no,no
916,no,yes,yes,yes,no
917,yes,yes,yes,yes,no
918,no,yes,no,no,no
919,yes,yes,no,no,no
920,no,yes,no,no,no
921,yes,no,yes,yes,yes
922,no,yes,no,no,no
923,yes,no,yes,yes,yes
924,yes,yes,no,no,no
925,yes,yes,yes,yes,yes
926,no,yes,no,no,no
927,yes,no,yes,no,yes
928,no,yes,no,no,no
929,yes,yes,yes,yes,yes
930,no,yes,no,no,yes
931,no,yes,no,no,no
932,yes,no,yes,yes,yes
933,yes,no,yes,yes,no
934,no,no,no,no,no
935,no,no,yes,no,yes
936,yes,no,yes,yes,yes
937,yes,yes,no,no,no
938,yes,yes,no,no,yes
939,yes,yes,yes,yes,yes
940,no,yes,yes,yes,yes
941,yes,yes,no,yes,yes
942,yes,yes,no,no,no
943,yes,yes,yes,yes,yes
944,yes,yes,yes,yes,yes
945,yes,no,no,yes,no
946,no,yes,no,no,no
