index,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
135,spring,5,0,1,1,clear,19.142500,20.333792,78.7917,8.500357,3958
136,spring,5,0,2,1,mist,18.398349,19.542914,83.7917,18.582718,4123
137,spring,5,0,3,1,mist,17.850000,18.792428,87.0000,13.499964,3855
138,spring,5,0,4,1,mist,16.949151,17.708972,82.9583,7.250271,4575
139,spring,5,0,5,1,clear,17.223349,18.916772,71.9583,8.375871,4917
140,spring,5,0,6,0,clear,20.317500,21.750350,62.6667,8.083550,5805
141,spring,5,0,0,0,clear,20.395849,21.917000,74.9583,9.916536,4660
142,spring,5,0,1,1,mist,21.688349,22.959536,81.0000,15.667414,4274
143,spring,5,0,2,1,mist,23.020000,23.917658,74.0833,13.875164,4492
144,spring,5,0,3,1,clear,23.059151,24.625772,69.6250,10.333611,4978
145,spring,5,0,4,1,clear,25.291651,27.209408,67.7500,13.376014,4677
146,spring,5,0,5,1,clear,24.038349,26.042528,65.3750,16.125493,4679
147,spring,5,0,6,0,clear,22.824151,24.417014,72.9583,15.416164,4758
148,spring,5,0,0,0,clear,23.372500,24.626300,81.8750,14.333846,4788
149,spring,5,1,1,0,clear,26.466651,28.292072,68.5000,8.792075,4098
150,spring,5,0,2,1,clear,28.425000,31.875278,63.6667,7.459043,3982
151,spring,6,0,3,1,mist,27.915849,31.583822,67.7083,13.875164,3974
152,spring,6,0,4,1,clear,25.605000,26.500172,30.5000,19.583229,4968
153,spring,6,0,5,1,clear,21.140000,22.750778,35.4167,16.959107,5312
154,spring,6,0,6,0,clear,21.845000,23.249936,45.6250,8.250514,5342
155,spring,6,0,0,0,mist,22.471651,24.709064,65.2500,9.292364,4906
156,spring,6,0,1,1,clear,23.881651,25.042628,60.0000,8.167032,4548
157,spring,6,0,2,1,clear,25.252500,27.292700,59.7917,12.583136,4833
158,spring,6,0,3,1,clear,28.464151,32.000414,62.2083,9.166739,4401
159,spring,6,0,4,1,mist,29.991651,34.000214,56.8333,10.042161,3915
160,spring,6,0,5,1,clear,27.485000,30.417272,60.5000,9.417118,4586
161,spring,6,0,6,0,clear,26.075000,28.750508,65.4583,10.374950,4966
162,spring,6,0,0,0,clear,24.547500,26.459450,74.7917,10.958989,4460
163,spring,6,0,1,1,clear,21.845000,23.709164,49.4583,20.458450,5020
164,spring,6,0,2,1,clear,20.395849,23.042036,50.7083,18.041961,4891
165,spring,6,0,3,1,clear,21.453349,22.791764,47.1667,11.250104,5180
166,spring,6,0,4,1,mist,21.531651,23.292836,68.8333,13.833557,3767
167,spring,6,0,5,1,clear,22.510849,23.625278,73.5833,9.582943,4844
168,spring,6,0,6,0,clear,24.743349,26.500964,67.0417,8.000336,5119
169,spring,6,0,0,0,mist,24.860849,26.625836,66.6667,6.834000,4744
170,spring,6,0,1,1,mist,21.845000,23.292836,74.6250,10.416825,4010
171,summer,6,0,2,1,mist,23.999151,26.084636,77.0417,11.458675,4835
172,summer,6,0,3,1,clear,26.466651,29.792714,70.7500,11.541554,4507
173,summer,6,0,4,1,mist,26.231651,29.792978,70.3333,15.999868,4790
174,summer,6,0,5,1,clear,26.035849,27.334478,57.3333,14.875675,4991
175,summer,6,0,6,0,clear,24.665000,26.458658,48.3333,14.041257,5202
176,summer,6,0,0,0,clear,23.960000,26.083514,51.3333,6.333731,5305
177,summer,6,0,1,1,mist,24.077500,26.042264,65.8333,7.208396,4708
178,summer,6,0,2,1,clear,26.975849,29.708828,63.4167,9.666961,4648
179,summer,6,0,3,1,clear,26.231651,27.209408,49.7917,17.542007,5225
180,summer,6,0,4,1,clear,24.743349,26.042528,43.4167,12.415904,5515
181,summer,7,0,5,1,clear,25.957500,27.042692,39.6250,6.874736,5362
182,summer,7,0,6,0,clear,26.701651,28.042328,44.4583,7.709154,5119
183,summer,7,0,0,0,mist,25.683349,28.125950,68.2500,15.333486,4649
184,summer,7,1,1,0,mist,26.153349,27.917522,63.7917,5.459106,6043
185,summer,7,0,2,1,clear,27.093349,29.958308,59.0417,8.459286,4665
186,summer,7,0,3,1,clear,25.840000,29.251778,74.3333,10.042161,4629
187,summer,7,0,4,1,clear,27.250000,29.333486,65.1250,10.666400,4592
188,summer,7,0,5,1,mist,25.330849,28.251878,75.7917,15.083643,4040
189,summer,7,0,6,0,clear,26.466651,27.834428,60.9167,11.250104,5336
190,summer,7,0,0,0,clear,27.132500,29.541650,57.8333,12.292557,4881
191,summer,7,0,1,1,clear,27.837500,32.167064,63.5833,18.916579,4086
192,summer,7,0,2,1,clear,29.325849,32.792150,55.9167,13.417018,4258
193,summer,7,0,3,1,clear,27.093349,29.500664,63.1667,9.790911,4342
194,summer,7,0,4,1,clear,23.999151,25.916864,47.6250,16.124689,5084
195,summer,7,0,5,1,clear,23.176651,25.208486,59.1250,12.249811,5538
196,summer,7,0,6,0,clear,24.273349,26.125358,58.5000,13.958914,5923
197,summer,7,0,0,0,clear,25.800849,28.208978,60.4167,16.417211,5302
198,summer,7,0,1,1,clear,27.093349,30.459050,65.1250,14.458868,4458
199,summer,7,0,2,1,clear,28.503349,33.333614,65.0417,8.750200,4541
200,summer,7,0,3,1,clear,28.111651,33.292100,70.7083,7.625739,4332
201,summer,7,0,4,1,mist,30.305000,38.540486,69.1250,14.875407,3784
202,summer,7,0,5,1,clear,31.871651,39.499136,58.0417,8.917700,3387
203,summer,7,0,6,0,clear,31.910849,37.082942,50.0000,8.791807,3285
204,summer,7,0,0,0,clear,31.010000,36.458714,55.0833,11.334457,3606
205,summer,7,0,1,1,clear,26.936651,31.583228,75.7083,6.084156,3840
206,summer,7,0,2,1,clear,28.268349,30.000614,54.0833,13.417286,4590
207,summer,7,0,3,1,clear,28.425000,29.584022,40.2917,12.292021,4656
208,summer,7,0,4,1,clear,28.620849,32.833400,58.3333,11.958093,4390
209,summer,7,0,5,1,clear,31.401651,35.873822,54.2500,11.667246,3846
210,summer,7,0,6,0,clear,29.795849,32.083442,46.5833,11.291979,4475
211,summer,7,0,0,0,clear,29.874151,32.166536,48.0833,11.042471,4302
212,summer,8,0,1,1,clear,28.268349,30.417272,55.0833,10.500039,4266
213,summer,8,0,2,1,clear,28.816651,30.666686,49.1250,13.791950,4845
214,summer,8,0,3,1,mist,26.388349,28.875842,65.7500,9.084061,3574
215,summer,8,0,4,1,mist,25.370000,27.876008,75.7500,13.209050,4576
216,summer,8,0,5,1,clear,25.409151,27.333422,63.0833,12.374632,4866
217,summer,8,0,6,0,mist,25.683349,28.626164,75.5000,15.292750,4294
218,summer,8,0,0,0,clear,26.897500,31.209272,75.2917,13.499629,3785
219,summer,8,0,1,1,clear,27.955000,30.416678,59.2083,12.875725,4326
220,summer,8,0,2,1,clear,28.425000,31.791986,57.0417,10.125107,4602
221,summer,8,0,3,1,clear,28.033349,29.208878,42.4167,13.417286,4780
222,summer,8,0,4,1,clear,25.722500,27.000386,42.3750,11.041332,4792
223,summer,8,0,5,1,clear,25.291651,27.166772,41.5000,8.416607,4905
224,summer,8,0,6,0,mist,24.234151,26.626628,72.9583,14.167418,4150
225,summer,8,0,0,0,mist,23.803349,25.209608,81.7500,14.916411,3820
226,summer,8,0,1,1,clear,23.294151,24.667022,71.2083,13.999918,4338
227,summer,8,0,2,1,clear,24.939151,26.625242,57.8333,15.834043,4725
228,summer,8,0,3,1,clear,25.996651,28.000286,57.5417,9.625689,4694
229,summer,8,0,4,1,clear,25.448349,27.709028,65.4583,15.624936,3805
230,summer,8,0,5,1,mist,24.195000,25.792586,72.2917,9.333636,4153
231,summer,8,0,6,0,clear,24.782500,26.833736,67.4167,6.999289,5191
232,summer,8,0,0,0,clear,25.409151,28.584650,77.0000,16.666518,3873
233,summer,8,0,1,1,clear,24.508349,26.124764,47.0000,18.542250,4758
234,summer,8,0,2,1,clear,22.119151,24.000422,45.5417,9.833121,5895
235,summer,8,0,3,1,clear,23.646651,25.625672,60.5000,16.958236,5130
236,summer,8,0,4,1,mist,24.155849,26.626364,77.1667,14.125811,3542
237,summer,8,0,5,1,clear,24.900000,27.542378,76.1250,5.625487,4661
238,summer,8,0,6,0,mist,23.960000,25.946696,85.0000,25.166339,1115
239,summer,8,0,0,0,clear,25.231773,26.765294,56.1765,20.412153,4334
240,summer,8,0,1,1,clear,21.923349,24.125228,55.4583,10.708275,4634
241,summer,8,0,2,1,clear,22.040849,23.250464,54.8333,8.375536,5204
242,summer,8,0,3,1,clear,22.863349,24.333986,59.7917,5.583331,5058
243,summer,9,0,4,1,clear,22.785000,24.584786,63.9167,9.500332,5115
244,summer,9,0,5,1,mist,22.236651,23.917328,72.7083,9.375243,4727
245,summer,9,0,6,0,clear,23.450849,25.792058,71.6667,12.416775,4484
246,summer,9,0,0,0,clear,25.330849,27.918314,74.2083,13.833289,4940
247,summer,9,1,1,0,mist,23.646651,25.292636,79.0417,14.250632,3351
248,summer,9,0,2,1,light precip,17.380000,18.003200,88.6957,23.044181,2710
249,summer,9,0,3,1,light precip,20.160849,19.919114,91.7083,6.500394,1996
250,summer,9,0,4,1,light precip,21.793911,20.653826,93.9565,12.914116,1842
251,summer,9,0,5,1,mist,22.550000,22.210436,89.7917,8.333393,3544
252,summer,9,0,6,0,clear,23.020000,24.125492,75.3750,10.291736,5345
253,summer,9,0,0,0,clear,22.706651,24.209114,71.3750,7.708618,5046
254,summer,9,0,1,1,clear,22.284356,23.740580,69.2174,5.957171,4713
255,summer,9,0,2,1,clear,22.589151,23.834564,71.2500,9.500868,4763
256,summer,9,0,3,1,clear,23.646651,25.375400,69.7083,11.209100,4785
257,summer,9,0,4,1,mist,19.142500,20.542286,70.9167,18.166782,3659
258,summer,9,0,5,1,mist,14.050849,14.457350,59.0417,11.000261,4760
259,summer,9,0,6,0,mist,15.108349,15.581792,71.8333,12.708225,4511
260,summer,9,0,0,0,clear,15.852500,16.375442,69.5000,11.958361,4274
261,summer,9,0,1,1,mist,17.810849,18.958550,69.0000,10.166714,4539
262,summer,9,0,2,1,mist,18.398349,19.126322,88.1250,9.041918,3641
263,summer,9,0,3,1,mist,19.965000,20.335178,90.0000,6.459081,4352
264,summer,9,0,4,1,mist,21.531651,20.627558,90.2083,8.584375,4795
265,fall,9,0,5,1,mist,20.630849,18.460250,97.2500,5.250569,2395
266,fall,9,0,6,0,mist,20.513349,21.251192,86.2500,5.251681,5423
267,fall,9,0,0,0,mist,21.805849,21.794042,84.5000,3.375406,5010
268,fall,9,0,1,1,mist,22.510849,22.876772,84.8333,7.416900,4630
269,fall,9,0,2,1,mist,21.923349,21.918650,88.5417,7.917457,4120
270,fall,9,0,3,1,mist,21.845000,21.960428,84.8750,9.958143,3907
271,fall,9,0,4,1,clear,20.983349,21.917792,69.9167,11.583161,4839
272,fall,9,0,5,1,clear,18.515849,19.958714,64.7500,13.833825,5202
273,fall,10,0,6,0,mist,11.270000,11.248958,75.3750,19.583832,2429
274,fall,10,0,0,0,mist,8.763349,6.790922,79.1667,14.874871,2918
275,fall,10,0,1,1,mist,10.055849,9.875036,76.0833,5.584169,3570
276,fall,10,0,2,1,clear,14.755849,15.208628,71.0000,13.792218,4456
277,fall,10,0,3,1,clear,17.301651,18.791108,64.7917,11.875750,4826
278,fall,10,0,4,1,clear,15.225849,15.708050,62.0833,9.041918,4765
279,fall,10,0,5,1,clear,16.009151,17.290664,68.4167,1.500244,4985
280,fall,10,0,6,0,clear,16.518349,17.873972,70.1250,3.042081,5409
281,fall,10,0,0,0,clear,17.419151,18.582878,72.7500,4.251150,5511
282,fall,10,1,1,0,clear,18.829151,19.833050,73.3750,2.834381,5117
283,fall,10,0,2,1,mist,18.633349,20.042336,80.8750,9.583814,4563
284,fall,10,0,3,1,light precip,17.536651,18.169322,90.6250,16.626050,2416
285,fall,10,0,4,1,mist,19.690849,20.419064,89.6667,9.499729,2913
286,fall,10,0,5,1,mist,17.889151,18.958550,71.6250,15.000161,3644
287,fall,10,0,6,0,clear,15.813349,16.915850,48.3333,17.291561,5217
288,fall,10,0,0,0,clear,16.048349,17.208164,48.6667,18.875039,5041
289,fall,10,0,1,1,clear,17.105849,17.707850,57.9583,11.750393,4570
290,fall,10,0,2,1,mist,17.027500,18.499586,70.1667,7.375829,4748
291,fall,10,0,3,1,light precip,17.461733,17.913968,89.5217,16.303713,2424
292,fall,10,0,4,1,clear,14.364151,14.790650,63.6250,28.292425,4195
293,fall,10,0,5,1,clear,12.092500,11.957336,57.4167,14.833532,4304
294,fall,10,0,6,0,clear,11.857500,12.082472,62.9167,6.208669,4308
295,fall,10,0,0,0,clear,11.818349,11.873978,74.1250,6.667338,4381
296,fall,10,0,1,1,clear,13.776651,14.166422,77.2083,7.959064,4187
297,fall,10,0,2,1,clear,14.168349,14.582750,62.2917,11.166086,4687
298,fall,10,0,3,1,mist,14.755849,15.207836,72.0417,9.959014,3894
299,fall,10,0,4,1,mist,14.090000,14.165036,81.2917,13.250121,2659
300,fall,10,0,5,1,mist,7.549151,5.041592,58.5833,15.375093,3747
301,fall,10,0,6,0,light precip,3.945849,0.957742,88.2500,23.541857,627
302,fall,10,0,0,0,clear,7.000849,5.207714,62.3750,11.833339,3331
303,fall,10,0,1,1,clear,7.980000,7.500158,70.3333,7.125450,3669
304,fall,11,0,2,1,clear,10.839151,10.207808,68.3750,9.083257,4068
305,fall,11,0,3,1,clear,9.742500,9.748778,71.8750,5.500144,4186
306,fall,11,0,4,1,clear,11.191651,10.790786,70.2083,9.166739,3974
307,fall,11,0,5,1,mist,10.956651,10.623872,62.2500,18.209193,4046
308,fall,11,0,6,0,clear,7.353349,5.374364,51.9167,12.667154,3926
309,fall,11,0,0,0,clear,8.371651,7.915628,73.4583,6.167631,3649
310,fall,11,0,1,1,clear,10.565000,10.457486,75.8750,3.834075,4035
311,fall,11,0,2,1,clear,11.191651,11.208236,72.1667,4.625513,4205
312,fall,11,0,3,1,clear,10.800000,10.999214,75.8333,4.167119,4109
313,fall,11,0,4,1,mist,9.860000,8.665586,81.3333,12.667489,2933
314,fall,11,1,5,0,clear,7.235849,4.249922,44.6250,21.083225,3368
315,fall,11,0,6,0,clear,8.763349,7.624172,55.2917,14.208154,4067
316,fall,11,0,0,0,clear,12.719151,12.416300,45.8333,18.875307,3717
317,fall,11,0,1,1,clear,16.910000,18.624392,58.7083,20.541932,4486
318,fall,11,0,2,1,mist,16.910000,17.500214,68.8750,13.375411,4195
319,fall,11,0,3,1,light precip,13.463349,13.831208,93.0000,9.167543,1817
320,fall,11,0,4,1,mist,8.058349,5.332586,57.5833,20.459254,3053
321,fall,11,0,5,1,clear,4.885849,1.999586,41.0000,11.291711,3392
322,fall,11,0,6,0,clear,7.470849,5.415878,50.2083,15.041232,3663
323,fall,11,0,0,0,mist,13.776651,14.165828,68.4583,12.458650,3520
324,fall,11,0,1,1,light precip,13.032500,13.374092,91.0000,9.249618,2765
325,fall,11,0,2,1,light precip,11.583349,11.831936,96.2500,7.959064,1607
326,fall,11,0,3,1,mist,12.719151,12.415442,75.7917,22.500275,2566
327,fall,11,1,4,0,clear,9.546651,8.583086,54.9167,11.209368,1495
328,fall,11,0,5,1,clear,9.625000,9.124286,64.3750,6.626019,2792
329,fall,11,0,6,0,clear,9.664151,9.415742,68.1667,4.584194,3068
330,fall,11,0,0,0,clear,13.580849,14.082800,69.8333,13.999918,3071
331,fall,11,0,1,1,clear,15.663466,16.348052,74.3043,9.522174,3867
332,fall,11,0,2,1,mist,13.541651,13.790750,83.0833,17.292164,2914
333,fall,11,0,3,1,clear,7.275000,4.540586,61.3333,18.167586,3613
334,fall,12,0,4,1,clear,6.687500,4.166564,52.4583,14.750586,3727
335,fall,12,0,5,1,clear,6.765849,5.874578,62.5833,6.750518,3940
336,fall,12,0,6,0,clear,6.060849,4.499864,61.2917,6.417481,3614
337,fall,12,0,0,0,clear,7.549151,7.040600,77.5833,5.625206,3485
338,fall,12,0,1,1,mist,10.134151,9.999050,82.7083,4.167956,3811
339,fall,12,0,2,1,light precip,13.737500,14.122400,94.9583,15.583061,2594
340,fall,12,0,3,1,light precip,11.270000,10.416236,97.0417,17.833725,705
341,fall,12,0,4,1,clear,4.494151,0.957908,58.0000,16.083886,3322
342,fall,12,0,5,1,clear,5.669151,4.957772,69.5833,5.542019,3620
343,fall,12,0,6,0,clear,4.925000,1.583192,50.7500,15.625807,3190
344,fall,12,0,0,0,clear,2.379151,0.708164,49.0000,4.458294,2743
345,fall,12,0,1,1,clear,3.201651,1.832936,67.0833,4.251150,3310
346,fall,12,0,2,1,clear,5.277500,3.875108,59.0000,9.416850,3523
347,fall,12,0,3,1,mist,6.922500,6.331892,66.3750,4.084206,3740
348,fall,12,0,4,1,mist,11.857500,11.207642,63.4167,17.958814,3709
349,fall,12,0,5,1,mist,9.625000,7.748450,50.0417,17.458525,3577
350,fall,12,0,6,0,mist,4.141651,0.458486,56.0833,16.292189,2739
351,fall,12,0,0,0,clear,3.201651,0.208214,58.6250,11.375193,2431
352,fall,12,0,1,1,clear,5.003349,2.541578,63.7500,11.584032,3403
353,fall,12,0,2,1,mist,10.134151,10.165964,59.5417,4.125244,3750
354,winter,12,0,3,1,mist,12.131651,12.249122,85.8333,14.833800,2660
355,winter,12,0,4,1,mist,11.896651,12.123986,75.7500,3.167425,3068
356,winter,12,0,5,1,clear,9.546651,8.915858,68.6250,18.374482,2209
