id,school,address,absences,Mjob,Fjob,G3
133,GP,U,16,services,other,11
134,GP,R,0,at_home,teacher,0
135,GP,U,0,services,at_home,0
136,GP,R,0,at_home,other,0
137,GP,U,0,other,other,0
138,GP,U,0,services,other,12
139,GP,U,0,teacher,teacher,15
140,GP,U,0,teacher,services,0
141,GP,U,8,services,services,9
142,GP,U,2,teacher,services,11
143,GP,U,2,at_home,at_home,13
144,GP,U,0,other,other,0
145,GP,U,0,other,services,11
146,GP,U,0,health,services,0
147,GP,U,2,at_home,other,11
148,GP,U,0,teacher,teacher,0
149,GP,U,0,services,other,10
150,GP,U,0,other,other,0
151,GP,U,6,at_home,other,14
152,GP,R,8,services,services,10
153,GP,U,0,services,at_home,0
154,GP,U,0,other,teacher,12
155,GP,R,2,at_home,services,8
156,GP,R,8,other,other,13
157,GP,R,6,at_home,other,10
158,GP,R,2,at_home,other,15
159,GP,U,4,other,services,12
160,GP,R,0,at_home,other,0
161,GP,R,6,other,other,7
162,GP,U,0,other,other,0
163,GP,U,2,at_home,services,10
164,GP,R,0,other,services,7
165,GP,U,16,services,services,12
166,GP,U,4,other,other,10
167,GP,U,0,health,services,16
168,GP,U,0,other,other,0
169,GP,U,0,health,health,14
170,GP,U,0,other,other,0
171,GP,U,2,other,other,16
172,GP,U,0,teacher,other,10
173,GP,U,0,at_home,services,0
174,GP,U,4,other,other,9
175,GP,U,4,teacher,other,9
176,GP,U,2,services,other,11
177,GP,U,4,other,other,6
178,GP,R,10,teacher,services,9
179,GP,U,4,other,other,11
180,GP,U,10,teacher,other,8
181,GP,U,2,services,other,12
182,GP,U,0,services,services,17
183,GP,U,56,other,other,8
184,GP,U,14,other,other,12
185,GP,U,12,services,services,11
186,GP,U,2,services,services,11
187,GP,U,0,other,other,15
188,GP,U,6,health,other,9
189,GP,R,4,at_home,other,10
190,GP,U,10,services,services,13
191,GP,U,0,at_home,services,9
192,GP,U,12,at_home,services,8
193,GP,R,8,services,services,10
194,GP,U,0,other,other,14
195,GP,U,0,services,services,15
196,GP,U,4,services,teacher,16
197,GP,R,8,teacher,other,10
198,GP,U,24,services,teacher,18
199,GP,U,0,teacher,teacher,10
200,GP,U,2,health,other,16
201,GP,U,6,other,other,10
202,GP,U,4,other,other,10
203,GP,R,18,other,other,6
204,GP,R,6,services,services,11
205,GP,U,28,at_home,services,9
206,GP,U,5,services,other,7
207,GP,U,10,teacher,other,13
208,GP,U,6,at_home,other,10
209,GP,R,6,teacher,other,7
210,GP,U,10,other,other,8
211,GP,U,13,services,other,13
212,GP,U,0,other,other,14
213,GP,U,15,services,other,8
214,GP,R,12,services,other,10
215,GP,U,2,other,other,15
216,GP,U,22,other,other,4
217,GP,U,13,services,health,8
218,GP,U,3,at_home,other,8
219,GP,U,4,at_home,at_home,10
220,GP,R,2,at_home,services,6
221,GP,U,0,at_home,other,0
222,GP,U,2,services,teacher,17
223,GP,U,0,other,other,13
224,GP,U,0,teacher,services,14
225,GP,R,16,other,other,7
226,GP,U,10,other,other,15
227,GP,U,2,services,services,12
228,GP,U,14,at_home,other,9
229,GP,U,10,other,other,12
230,GP,U,14,health,other,14
231,GP,R,4,other,other,11
232,GP,U,14,teacher,teacher,9
233,GP,U,2,health,other,13
234,GP,U,18,other,other,6
235,GP,U,10,at_home,other,10
236,GP,U,4,other,other,13
237,GP,U,20,other,other,12
238,GP,R,2,at_home,services,11
239,GP,U,0,other,services,0
240,GP,U,14,health,other,12
241,GP,R,2,teacher,other,12
242,GP,U,0,teacher,other,0
243,GP,U,0,services,services,12
244,GP,U,0,other,other,0
245,GP,U,6,other,other,18
246,GP,U,4,other,other,13
247,GP,U,16,services,services,8
248,GP,R,8,other,services,5
249,GP,U,0,other,other,15
250,GP,U,0,services,other,8
251,GP,U,6,at_home,other,10
252,GP,U,4,services,services,8
253,GP,R,0,other,other,8
254,GP,R,0,other,other,12
255,GP,U,2,health,other,8
256,GP,U,6,teacher,services,13
257,GP,U,12,services,at_home,11
258,GP,U,8,other,other,14
259,GP,U,0,services,services,0
260,GP,U,21,services,other,18
261,GP,U,2,teacher,other,8
262,GP,R,1,other,other,12
263,GP,U,4,other,other,9
264,GP,U,0,at_home,services,0
265,GP,R,13,other,other,17
266,GP,U,2,services,other,10
267,GP,R,8,teacher,other,11
268,GP,U,10,health,other,10
269,GP,R,0,other,other,0
270,GP,U,15,other,services,9
271,GP,U,4,other,services,14
272,GP,U,2,other,other,11
273,GP,R,2,at_home,at_home,14
274,GP,U,2,at_home,health,10
275,GP,U,6,services,other,12
276,GP,R,75,other,services,9
277,GP,U,22,teacher,services,9
278,GP,U,15,health,health,8
279,GP,U,8,teacher,services,10
280,GP,U,30,services,other,8
281,GP,U,19,teacher,services,10
282,GP,R,1,at_home,other,12
283,GP,U,4,other,other,10
284,GP,U,4,other,other,11
285,GP,U,2,other,other,11
286,GP,U,5,at_home,at_home,19
287,GP,U,6,services,teacher,12
288,GP,U,6,services,services,14
289,GP,U,9,teacher,teacher,15
290,GP,U,11,teacher,other,11
291,GP,U,0,health,services,15
292,GP,U,12,services,at_home,13
293,GP,R,6,services,other,18
294,GP,R,8,services,other,14
295,GP,U,4,health,other,11
296,GP,U,0,health,other,0
297,GP,U,10,other,other,8
298,GP,U,0,other,other,14
299,GP,U,5,teacher,teacher,16
300,GP,U,14,health,other,11
301,GP,U,0,other,teacher,10
302,GP,U,0,other,other,14
303,GP,U,0,health,health,18
304,GP,U,20,other,other,13
305,GP,U,8,services,at_home,12
306,GP,U,0,services,other,18
307,GP,U,38,teacher,services,8
308,GP,R,0,other,services,12
309,GP,U,18,at_home,other,10
310,GP,U,0,services,services,0
311,GP,U,20,at_home,other,13
312,GP,U,3,other,services,11
313,GP,U,22,services,other,11
314,GP,U,14,at_home,health,13
315,GP,R,40,other,other,11
316,GP,U,0,services,other,0
317,GP,U,9,other,other,9
318,GP,R,0,at_home,services,10
319,GP,U,2,teacher,other,11
320,GP,U,23,services,services,13
321,GP,U,12,other,other,9
322,GP,R,3,services,services,11
323,GP,U,1,services,services,15
324,GP,U,0,at_home,at_home,15
325,GP,U,3,other,other,11
326,GP,U,3,other,services,16
327,GP,R,8,services,other,10
328,GP,U,7,teacher,services,9
329,GP,U,4,teacher,teacher,14
330,GP,U,2,other,other,8
331,GP,R,7,at_home,other,14
332,GP,U,0,services,services,0
333,GP,U,0,other,other,0
334,GP,R,0,at_home,other,0
335,GP,U,16,services,other,15
336,GP,R,12,services,at_home,13
337,GP,U,0,other,other,0
338,GP,U,7,services,services,17
339,GP,R,4,other,other,10
340,GP,U,4,services,services,11
341,GP,U,0,teacher,services,0
342,GP,U,11,services,other,15
343,GP,U,0,at_home,at_home,0
344,GP,U,4,at_home,other,10
345,GP,U,7,other,services,14
346,GP,R,9,teacher,services,16
347,GP,U,0,teacher,other,9
348,GP,U,0,health,other,15
349,MS,R,10,other,other,13
350,MS,R,8,other,services,8
351,MS,U,2,health,other,13
352,MS,U,7,at_home,services,8
353,MS,R,4,other,other,8
354,MS,R,4,services,other,11
355,MS,U,0,services,services,9
356,MS,R,4,teacher,services,13
357,MS,U,2,services,other,11
358,MS,U,4,other,services,10
359,MS,U,0,at_home,services,16
360,MS,R,0,at_home,other,13
361,MS,R,2,at_home,other,12
362,MS,U,0,services,services,10
363,MS,U,0,at_home,at_home,15
364,MS,R,0,other,services,12
365,MS,R,4,at_home,other,10
366,MS,U,0,teacher,services,13
367,MS,R,0,other,services,0
368,MS,U,0,at_home,services,10
369,MS,R,10,other,teacher,11
370,MS,U,4,services,services,9
371,MS,R,3,at_home,services,12
372,MS,U,8,other,at_home,11
373,MS,R,14,other,other,5
374,MS,R,0,other,other,19
375,MS,R,2,other,other,10
376,MS,U,4,health,other,15
377,MS,R,4,teacher,services,10
378,MS,U,0,other,other,15
379,MS,R,17,at_home,other,10
380,MS,U,4,teacher,teacher,14
381,MS,R,5,other,other,7
382,MS,U,2,other,services,10
383,MS,R,0,other,services,0
384,MS,R,14,other,other,5
385,MS,R,2,at_home,other,10
386,MS,R,7,teacher,at_home,6
387,MS,R,0,services,other,0
388,MS,U,0,teacher,services,8
389,MS,U,0,other,other,0
390,MS,U,11,services,services,9
391,MS,U,3,services,services,16
392,MS,R,3,other,other,7
393,MS,R,0,services,other,10
394,MS,U,5,other,at_home,9
